BHAC15 tracks and internal structure for low mass stars (0.07 Msun to 1.4 Msun)

M/Ms: mass of the star in units of solar mass 
log t: age of the star (in yr)
Teff: effective temperature (in K)
L/Ls: log luminosity in units of solar luminosity (value used Ls=3.839d+33)
g: log g  (surface gravity)
R/Rs : radius of the star in units of solar radius    (value used Rs=6.96d10)
Li/Li0: ratio of surface lithium abundance to initial abundance
log Tc : log of central temprature
log ROc: log of central density (in gr/cc)
Mrad: mass of radiative core (in solar mass)
Rrad: radius of radiatif core (in solar radius)
k2conv: convective gyration radius 
k2rad: radiative gyration radius


------------------------------------------------------------------------
NOTE: Adopted convention to calculate the gyration radii:

k2conv=[ I/(R**2 * Mstar) ]**(1/2)

with I the moment of inertia defined here by :

I = 2/3 integral(r**2 * dm) 
with the integral over the mass of the convective region

Same for k2rad, corresponding to the radiative zone.
(Make sure you take the factor 2/3 into account)

Example: To calculate the moment of inertia of a 1 Msun star at t = 4.6 Gyr, 
the table gives

k2conv= 8.993E-02  
k2rad= 2.519E-01

k2**2 = k2conv**2 + k2rad**2 ~ 0.071 ===> I = 3/2 * k2**2 ~ 0.107

(Which is the expected value of the moment of intertia for the Sun)

END OF NOTE
-----------------------------------------------------------------------------

!-------------------------------------------------------------------------------------------------------------------
! M/Ms    log t(yr)  Teff      L/Ls    g    R/Rs   Li/Li0  log Tc  log ROc   Mrad     Rrad       k2conv      k2rad
!-------------------------------------------------------------------------------------------------------------------
 0.070     5.693     2834.  -1.324  3.369  0.905    1.000   5.813  -0.0918  0.0000   0.000E+00  4.429E-01  0.000E+00
 0.070     5.702     2835.  -1.327  3.374  0.900    1.000   5.815  -0.0853  0.0000   0.000E+00  4.431E-01  0.000E+00
 0.070     5.711     2837.  -1.331  3.379  0.895    1.000   5.817  -0.0789  0.0000   0.000E+00  4.433E-01  0.000E+00
 0.070     5.720     2839.  -1.335  3.384  0.890    1.000   5.819  -0.0724  0.0000   0.000E+00  4.435E-01  0.000E+00
 0.070     5.730     2841.  -1.338  3.388  0.885    1.000   5.821  -0.0660  0.0000   0.000E+00  4.437E-01  0.000E+00
 0.070     5.748     2844.  -1.346  3.398  0.876    1.000   5.825  -0.0531  0.0000   0.000E+00  4.441E-01  0.000E+00
 0.070     5.757     2846.  -1.349  3.403  0.871    1.000   5.827  -0.0466  0.0000   0.000E+00  4.443E-01  0.000E+00
 0.070     5.767     2848.  -1.353  3.407  0.866    1.000   5.829  -0.0402  0.0000   0.000E+00  4.445E-01  0.000E+00
 0.070     5.776     2850.  -1.356  3.412  0.862    1.000   5.831  -0.0338  0.0000   0.000E+00  4.447E-01  0.000E+00
 0.070     5.785     2852.  -1.360  3.417  0.857    1.000   5.833  -0.0274  0.0000   0.000E+00  4.449E-01  0.000E+00
 0.070     5.795     2854.  -1.363  3.421  0.853    1.000   5.835  -0.0211  0.0000   0.000E+00  4.450E-01  0.000E+00
 0.070     5.805     2856.  -1.366  3.426  0.848    1.000   5.837  -0.0147  0.0000   0.000E+00  4.452E-01  0.000E+00
 0.070     5.815     2858.  -1.370  3.430  0.843    1.000   5.839  -0.0084  0.0000   0.000E+00  4.454E-01  0.000E+00
 0.070     5.824     2861.  -1.373  3.435  0.839    1.000   5.841  -0.0021  0.0000   0.000E+00  4.456E-01  0.000E+00
 0.070     5.835     2863.  -1.376  3.440  0.835    1.000   5.843   0.0042  0.0000   0.000E+00  4.458E-01  0.000E+00
 0.070     5.845     2865.  -1.379  3.444  0.830    1.000   5.845   0.0105  0.0000   0.000E+00  4.460E-01  0.000E+00
 0.070     5.856     2868.  -1.382  3.449  0.826    1.000   5.846   0.0167  0.0000   0.000E+00  4.462E-01  0.000E+00
 0.070     5.866     2870.  -1.385  3.453  0.822    1.000   5.848   0.0229  0.0000   0.000E+00  4.463E-01  0.000E+00
 0.070     5.878     2872.  -1.388  3.458  0.817    1.000   5.850   0.0291  0.0000   0.000E+00  4.465E-01  0.000E+00
 0.070     5.889     2875.  -1.391  3.462  0.813    1.000   5.852   0.0353  0.0000   0.000E+00  4.467E-01  0.000E+00
 0.070     5.901     2878.  -1.394  3.467  0.809    1.000   5.854   0.0414  0.0000   0.000E+00  4.469E-01  0.000E+00
 0.070     5.914     2880.  -1.397  3.471  0.805    1.000   5.856   0.0474  0.0000   0.000E+00  4.471E-01  0.000E+00
 0.070     5.926     2883.  -1.400  3.475  0.801    1.000   5.858   0.0530  0.0000   0.000E+00  4.472E-01  0.000E+00
 0.070     5.938     2885.  -1.402  3.479  0.797    1.000   5.859   0.0583  0.0000   0.000E+00  4.474E-01  0.000E+00
 0.070     5.950     2887.  -1.404  3.483  0.794    1.000   5.861   0.0631  0.0000   0.000E+00  4.475E-01  0.000E+00
 0.070     5.961     2890.  -1.406  3.486  0.791    1.000   5.862   0.0676  0.0000   0.000E+00  4.476E-01  0.000E+00
 0.070     5.973     2892.  -1.408  3.489  0.788    1.000   5.863   0.0718  0.0000   0.000E+00  4.478E-01  0.000E+00
 0.070     5.984     2893.  -1.410  3.492  0.786    1.000   5.865   0.0756  0.0000   0.000E+00  4.479E-01  0.000E+00
 0.070     5.995     2895.  -1.411  3.494  0.784    1.000   5.866   0.0792  0.0000   0.000E+00  4.480E-01  0.000E+00
 0.070     6.006     2897.  -1.413  3.497  0.781    1.000   5.867   0.0824  0.0000   0.000E+00  4.481E-01  0.000E+00
 0.070     6.016     2899.  -1.414  3.499  0.779    1.000   5.868   0.0855  0.0000   0.000E+00  4.482E-01  0.000E+00
 0.070     6.027     2899.  -1.415  3.501  0.778    1.000   5.869   0.0883  0.0000   0.000E+00  4.483E-01  0.000E+00
 0.070     6.037     2899.  -1.417  3.503  0.776    1.000   5.869   0.0909  0.0000   0.000E+00  4.483E-01  0.000E+00
 0.070     6.049     2900.  -1.419  3.505  0.774    1.000   5.870   0.0937  0.0000   0.000E+00  4.484E-01  0.000E+00
 0.070     6.063     2900.  -1.421  3.507  0.772    1.000   5.871   0.0967  0.0000   0.000E+00  4.485E-01  0.000E+00
 0.070     6.079     2900.  -1.423  3.510  0.770    1.000   5.872   0.0999  0.0000   0.000E+00  4.486E-01  0.000E+00
 0.070     6.097     2900.  -1.426  3.512  0.768    1.000   5.873   0.1032  0.0000   0.000E+00  4.487E-01  0.000E+00
 0.070     6.119     2900.  -1.428  3.515  0.766    1.000   5.874   0.1067  0.0000   0.000E+00  4.488E-01  0.000E+00
 0.070     6.139     2901.  -1.430  3.517  0.764    1.000   5.875   0.1099  0.0000   0.000E+00  4.489E-01  0.000E+00
 0.070     6.157     2901.  -1.433  3.519  0.762    1.000   5.876   0.1129  0.0000   0.000E+00  4.490E-01  0.000E+00
 0.070     6.174     2901.  -1.434  3.521  0.760    1.000   5.877   0.1157  0.0000   0.000E+00  4.491E-01  0.000E+00
 0.070     6.190     2901.  -1.436  3.523  0.758    1.000   5.878   0.1184  0.0000   0.000E+00  4.491E-01  0.000E+00
 0.070     6.205     2901.  -1.438  3.525  0.757    1.000   5.879   0.1210  0.0000   0.000E+00  4.492E-01  0.000E+00
 0.070     6.219     2901.  -1.440  3.527  0.755    1.000   5.880   0.1235  0.0000   0.000E+00  4.493E-01  0.000E+00
 0.070     6.232     2901.  -1.442  3.528  0.753    1.000   5.880   0.1260  0.0000   0.000E+00  4.494E-01  0.000E+00
 0.070     6.245     2901.  -1.443  3.530  0.752    1.000   5.881   0.1284  0.0000   0.000E+00  4.494E-01  0.000E+00
 0.070     6.256     2902.  -1.445  3.532  0.750    1.000   5.882   0.1309  0.0000   0.000E+00  4.495E-01  0.000E+00
 0.070     6.268     2902.  -1.447  3.534  0.749    1.000   5.883   0.1333  0.0000   0.000E+00  4.496E-01  0.000E+00
 0.070     6.278     2902.  -1.448  3.535  0.747    1.000   5.883   0.1357  0.0000   0.000E+00  4.496E-01  0.000E+00
 0.070     6.288     2902.  -1.450  3.537  0.746    1.000   5.884   0.1380  0.0000   0.000E+00  4.497E-01  0.000E+00
 0.070     6.298     2902.  -1.452  3.539  0.745    1.000   5.885   0.1404  0.0000   0.000E+00  4.498E-01  0.000E+00
 0.070     6.307     2902.  -1.453  3.541  0.743    1.000   5.885   0.1427  0.0000   0.000E+00  4.498E-01  0.000E+00
 0.070     6.315     2902.  -1.455  3.542  0.742    1.000   5.886   0.1451  0.0000   0.000E+00  4.499E-01  0.000E+00
 0.070     6.324     2902.  -1.457  3.544  0.740    1.000   5.887   0.1474  0.0000   0.000E+00  4.500E-01  0.000E+00
 0.070     6.332     2902.  -1.458  3.546  0.739    1.000   5.888   0.1497  0.0000   0.000E+00  4.500E-01  0.000E+00
 0.070     6.339     2903.  -1.460  3.547  0.737    1.000   5.888   0.1520  0.0000   0.000E+00  4.501E-01  0.000E+00
 0.070     6.346     2903.  -1.461  3.549  0.736    1.000   5.889   0.1543  0.0000   0.000E+00  4.501E-01  0.000E+00
 0.070     6.353     2903.  -1.463  3.551  0.735    1.000   5.890   0.1566  0.0000   0.000E+00  4.502E-01  0.000E+00
 0.070     6.360     2903.  -1.465  3.552  0.733    1.000   5.891   0.1589  0.0000   0.000E+00  4.503E-01  0.000E+00
 0.070     6.366     2903.  -1.466  3.554  0.732    1.000   5.891   0.1612  0.0000   0.000E+00  4.503E-01  0.000E+00
 0.070     6.372     2903.  -1.468  3.556  0.730    1.000   5.892   0.1635  0.0000   0.000E+00  4.504E-01  0.000E+00
 0.070     6.378     2903.  -1.469  3.557  0.729    1.000   5.893   0.1657  0.0000   0.000E+00  4.505E-01  0.000E+00
 0.070     6.384     2903.  -1.471  3.559  0.728    1.000   5.893   0.1680  0.0000   0.000E+00  4.505E-01  0.000E+00
 0.070     6.389     2903.  -1.472  3.560  0.726    1.000   5.894   0.1702  0.0000   0.000E+00  4.506E-01  0.000E+00
 0.070     6.395     2904.  -1.474  3.562  0.725    1.000   5.895   0.1724  0.0000   0.000E+00  4.506E-01  0.000E+00
 0.070     6.400     2904.  -1.475  3.564  0.724    1.000   5.895   0.1747  0.0000   0.000E+00  4.507E-01  0.000E+00
 0.070     6.405     2904.  -1.477  3.565  0.722    1.000   5.896   0.1769  0.0000   0.000E+00  4.508E-01  0.000E+00
 0.070     6.409     2904.  -1.479  3.567  0.721    1.000   5.897   0.1791  0.0000   0.000E+00  4.508E-01  0.000E+00
 0.070     6.414     2904.  -1.480  3.568  0.720    1.000   5.897   0.1813  0.0000   0.000E+00  4.509E-01  0.000E+00
 0.070     6.418     2904.  -1.482  3.570  0.718    1.000   5.898   0.1835  0.0000   0.000E+00  4.510E-01  0.000E+00
 0.070     6.422     2904.  -1.483  3.572  0.717    1.000   5.899   0.1856  0.0000   0.000E+00  4.510E-01  0.000E+00
 0.070     6.426     2904.  -1.485  3.573  0.716    1.000   5.899   0.1878  0.0000   0.000E+00  4.511E-01  0.000E+00
 0.070     6.430     2904.  -1.486  3.575  0.715    1.000   5.900   0.1899  0.0000   0.000E+00  4.511E-01  0.000E+00
 0.070     6.434     2904.  -1.488  3.576  0.713    1.000   5.901   0.1921  0.0000   0.000E+00  4.512E-01  0.000E+00
 0.070     6.438     2904.  -1.489  3.578  0.712    1.000   5.902   0.1942  0.0000   0.000E+00  4.512E-01  0.000E+00
 0.070     6.441     2905.  -1.490  3.579  0.711    1.000   5.902   0.1963  0.0000   0.000E+00  4.513E-01  0.000E+00
 0.070     6.451     2905.  -1.495  3.584  0.707    1.000   5.904   0.2026  0.0000   0.000E+00  4.515E-01  0.000E+00
 0.070     6.461     2905.  -1.499  3.588  0.703    1.000   5.906   0.2088  0.0000   0.000E+00  4.516E-01  0.000E+00
 0.070     6.472     2905.  -1.505  3.594  0.699    1.000   5.909   0.2169  0.0000   0.000E+00  4.518E-01  0.000E+00
 0.070     6.481     2906.  -1.510  3.600  0.694    1.000   5.911   0.2248  0.0000   0.000E+00  4.520E-01  0.000E+00
 0.070     6.490     2906.  -1.515  3.605  0.690    1.000   5.913   0.2326  0.0000   0.000E+00  4.522E-01  0.000E+00
 0.070     6.500     2907.  -1.522  3.612  0.685    1.000   5.916   0.2419  0.0000   0.000E+00  4.525E-01  0.000E+00
 0.070     6.510     2907.  -1.529  3.620  0.679    1.000   5.920   0.2527  0.0000   0.000E+00  4.527E-01  0.000E+00
 0.070     6.520     2908.  -1.537  3.628  0.672    1.000   5.924   0.2647  0.0000   0.000E+00  4.530E-01  0.000E+00
 0.070     6.530     2908.  -1.546  3.637  0.665    1.000   5.928   0.2776  0.0000   0.000E+00  4.533E-01  0.000E+00
 0.070     6.539     2909.  -1.556  3.647  0.658    1.000   5.932   0.2912  0.0000   0.000E+00  4.536E-01  0.000E+00
 0.070     6.549     2910.  -1.567  3.658  0.649    1.000   5.937   0.3076  0.0000   0.000E+00  4.540E-01  0.000E+00
 0.070     6.559     2910.  -1.578  3.671  0.640    1.000   5.942   0.3247  0.0000   0.000E+00  4.544E-01  0.000E+00
 0.070     6.569     2911.  -1.592  3.685  0.629    1.000   5.949   0.3447  0.0000   0.000E+00  4.548E-01  0.000E+00
 0.070     6.579     2912.  -1.606  3.699  0.619    1.000   5.955   0.3647  0.0000   0.000E+00  4.553E-01  0.000E+00
 0.070     6.589     2913.  -1.620  3.714  0.609    1.000   5.962   0.3858  0.0000   0.000E+00  4.557E-01  0.000E+00
 0.070     6.600     2914.  -1.636  3.731  0.597    1.000   5.969   0.4098  0.0000   0.000E+00  4.563E-01  0.000E+00
 0.070     6.611     2915.  -1.651  3.746  0.587    1.000   5.976   0.4314  0.0000   0.000E+00  4.567E-01  0.000E+00
 0.070     6.620     2916.  -1.664  3.760  0.577    1.000   5.982   0.4511  0.0000   0.000E+00  4.572E-01  0.000E+00
 0.070     6.630     2917.  -1.677  3.774  0.568    1.000   5.988   0.4707  0.0000   0.000E+00  4.576E-01  0.000E+00
 0.070     6.640     2919.  -1.690  3.788  0.559    1.000   5.995   0.4904  0.0000   0.000E+00  4.580E-01  0.000E+00
 0.070     6.650     2920.  -1.703  3.801  0.550    1.000   6.001   0.5102  0.0000   0.000E+00  4.583E-01  0.000E+00
 0.070     6.660     2922.  -1.716  3.815  0.542    1.000   6.007   0.5299  0.0000   0.000E+00  4.587E-01  0.000E+00
 0.070     6.671     2923.  -1.729  3.829  0.533    1.000   6.013   0.5498  0.0000   0.000E+00  4.591E-01  0.000E+00
 0.070     6.682     2925.  -1.742  3.843  0.525    1.000   6.019   0.5696  0.0000   0.000E+00  4.595E-01  0.000E+00
 0.070     6.689     2926.  -1.751  3.852  0.519    1.000   6.023   0.5829  0.0000   0.000E+00  4.597E-01  0.000E+00
 0.070     6.700     2928.  -1.764  3.866  0.511    1.000   6.030   0.6030  0.0000   0.000E+00  4.600E-01  0.000E+00
 0.070     6.712     2930.  -1.776  3.880  0.503    1.000   6.036   0.6230  0.0000   0.000E+00  4.604E-01  0.000E+00
 0.070     6.719     2931.  -1.785  3.889  0.497    1.000   6.040   0.6364  0.0000   0.000E+00  4.606E-01  0.000E+00
 0.070     6.731     2933.  -1.798  3.903  0.489    1.000   6.046   0.6566  0.0000   0.000E+00  4.609E-01  0.000E+00
 0.070     6.739     2935.  -1.806  3.913  0.484    1.000   6.050   0.6700  0.0000   0.000E+00  4.611E-01  0.000E+00
 0.070     6.751     2937.  -1.819  3.927  0.476    1.000   6.056   0.6902  0.0000   0.000E+00  4.614E-01  0.000E+00
 0.070     6.760     2938.  -1.827  3.936  0.471    1.000   6.061   0.7037  0.0000   0.000E+00  4.616E-01  0.000E+00
 0.070     6.772     2940.  -1.840  3.950  0.464    1.000   6.067   0.7240  0.0000   0.000E+00  4.619E-01  0.000E+00
 0.070     6.781     2942.  -1.848  3.959  0.459    1.000   6.071   0.7375  0.0000   0.000E+00  4.621E-01  0.000E+00
 0.070     6.789     2943.  -1.857  3.968  0.454    1.000   6.075   0.7510  0.0000   0.000E+00  4.622E-01  0.000E+00
 0.070     6.802     2945.  -1.869  3.982  0.447    1.000   6.081   0.7712  0.0000   0.000E+00  4.625E-01  0.000E+00
 0.070     6.811     2947.  -1.878  3.992  0.442    1.000   6.085   0.7847  0.0000   0.000E+00  4.627E-01  0.000E+00
 0.070     6.820     2948.  -1.886  4.001  0.437    1.000   6.089   0.7982  0.0000   0.000E+00  4.629E-01  0.000E+00
 0.070     6.833     2948.  -1.900  4.015  0.430    1.000   6.095   0.8183  0.0000   0.000E+00  4.631E-01  0.000E+00
 0.070     6.842     2948.  -1.909  4.024  0.426    1.000   6.099   0.8318  0.0000   0.000E+00  4.633E-01  0.000E+00
 0.070     6.851     2948.  -1.919  4.033  0.421    1.000   6.104   0.8452  0.0000   0.000E+00  4.635E-01  0.000E+00
 0.070     6.860     2948.  -1.928  4.042  0.417    1.000   6.108   0.8587  0.0000   0.000E+00  4.637E-01  0.000E+00
 0.070     6.870     2948.  -1.937  4.052  0.413    1.000   6.112   0.8721  0.0000   0.000E+00  4.638E-01  0.000E+00
 0.070     6.884     2948.  -1.951  4.065  0.406    1.000   6.118   0.8923  0.0000   0.000E+00  4.641E-01  0.000E+00
 0.070     6.893     2948.  -1.960  4.075  0.402    1.000   6.122   0.9057  0.0000   0.000E+00  4.642E-01  0.000E+00
 0.070     6.903     2948.  -1.969  4.084  0.398    1.000   6.126   0.9191  0.0000   0.000E+00  4.644E-01  0.000E+00
 0.070     6.912     2948.  -1.979  4.093  0.393    1.000   6.130   0.9326  0.0000   0.000E+00  4.645E-01  0.000E+00
 0.070     6.922     2947.  -1.988  4.102  0.389    1.000   6.134   0.9460  0.0000   0.000E+00  4.647E-01  0.000E+00
 0.070     6.932     2947.  -1.997  4.111  0.385    1.000   6.138   0.9595  0.0000   0.000E+00  4.648E-01  0.000E+00
 0.070     6.942     2947.  -2.006  4.120  0.381    1.000   6.142   0.9730  0.0000   0.000E+00  4.650E-01  0.000E+00
 0.070     6.952     2947.  -2.016  4.129  0.377    1.000   6.146   0.9865  0.0000   0.000E+00  4.651E-01  0.000E+00
 0.070     6.962     2947.  -2.025  4.139  0.373    1.000   6.150   1.0000  0.0000   0.000E+00  4.652E-01  0.000E+00
 0.070     6.972     2946.  -2.034  4.148  0.369    1.000   6.154   1.0136  0.0000   0.000E+00  4.653E-01  0.000E+00
 0.070     6.982     2946.  -2.043  4.157  0.366    1.000   6.158   1.0272  0.0000   0.000E+00  4.655E-01  0.000E+00
 0.070     6.992     2946.  -2.053  4.166  0.362    1.000   6.162   1.0408  0.0000   0.000E+00  4.656E-01  0.000E+00
 0.070     7.003     2946.  -2.062  4.175  0.358    1.000   6.166   1.0545  0.0000   0.000E+00  4.657E-01  0.000E+00
 0.070     7.013     2946.  -2.071  4.184  0.354    1.000   6.170   1.0681  0.0000   0.000E+00  4.658E-01  0.000E+00
 0.070     7.024     2945.  -2.080  4.193  0.350    1.000   6.174   1.0818  0.0000   0.000E+00  4.659E-01  0.000E+00
 0.070     7.029     2945.  -2.085  4.198  0.349    1.000   6.176   1.0886  0.0000   0.000E+00  4.659E-01  0.000E+00
 0.070     7.040     2945.  -2.094  4.207  0.345    1.000   6.180   1.1023  0.0000   0.000E+00  4.660E-01  0.000E+00
 0.070     7.051     2945.  -2.104  4.216  0.341    1.000   6.184   1.1160  0.0000   0.000E+00  4.661E-01  0.000E+00
 0.070     7.061     2945.  -2.113  4.225  0.338    1.000   6.188   1.1297  0.0000   0.000E+00  4.662E-01  0.000E+00
 0.070     7.072     2945.  -2.122  4.235  0.334    1.000   6.192   1.1435  0.0000   0.000E+00  4.663E-01  0.000E+00
 0.070     7.083     2945.  -2.131  4.244  0.331    1.000   6.196   1.1573  0.0000   0.000E+00  4.664E-01  0.000E+00
 0.070     7.094     2944.  -2.141  4.253  0.327    1.000   6.200   1.1711  0.0000   0.000E+00  4.664E-01  0.000E+00
 0.070     7.100     2944.  -2.145  4.258  0.325    1.000   6.202   1.1780  0.0000   0.000E+00  4.665E-01  0.000E+00
 0.070     7.111     2944.  -2.154  4.267  0.322    1.000   6.206   1.1918  0.0000   0.000E+00  4.665E-01  0.000E+00
 0.070     7.122     2944.  -2.164  4.276  0.319    1.000   6.210   1.2056  0.0000   0.000E+00  4.666E-01  0.000E+00
 0.070     7.133     2944.  -2.173  4.285  0.315    1.000   6.214   1.2193  0.0000   0.000E+00  4.666E-01  0.000E+00
 0.070     7.139     2944.  -2.178  4.290  0.314    1.000   6.216   1.2262  0.0000   0.000E+00  4.667E-01  0.000E+00
 0.070     7.150     2944.  -2.187  4.299  0.310    1.000   6.220   1.2400  0.0000   0.000E+00  4.667E-01  0.000E+00
 0.070     7.162     2944.  -2.196  4.308  0.307    1.000   6.224   1.2537  0.0000   0.000E+00  4.668E-01  0.000E+00
 0.070     7.173     2943.  -2.205  4.317  0.304    1.000   6.228   1.2675  0.0000   0.000E+00  4.668E-01  0.000E+00
 0.070     7.185     2943.  -2.215  4.326  0.301    1.000   6.232   1.2813  0.0000   0.000E+00  4.669E-01  0.000E+00
 0.070     7.190     2943.  -2.219  4.331  0.299    1.000   6.234   1.2881  0.0000   0.000E+00  4.669E-01  0.000E+00
 0.070     7.202     2943.  -2.228  4.340  0.296    1.000   6.238   1.3019  0.0000   0.000E+00  4.669E-01  0.000E+00
 0.070     7.214     2942.  -2.238  4.349  0.293    1.000   6.242   1.3156  0.0000   0.000E+00  4.670E-01  0.000E+00
 0.070     7.219     2942.  -2.242  4.354  0.291    1.000   6.244   1.3225  0.0000   0.000E+00  4.670E-01  0.000E+00
 0.070     7.231     2942.  -2.252  4.363  0.288    1.000   6.247   1.3363  0.0000   0.000E+00  4.670E-01  0.000E+00
 0.070     7.243     2942.  -2.261  4.372  0.285    1.000   6.251   1.3500  0.0000   0.000E+00  4.671E-01  0.000E+00
 0.070     7.255     2941.  -2.270  4.381  0.282    1.000   6.255   1.3638  0.0000   0.000E+00  4.671E-01  0.000E+00
 0.070     7.261     2941.  -2.275  4.386  0.281    1.000   6.257   1.3706  0.0000   0.000E+00  4.671E-01  0.000E+00
 0.070     7.272     2941.  -2.284  4.395  0.278    1.000   6.261   1.3843  0.0000   0.000E+00  4.671E-01  0.000E+00
 0.070     7.284     2940.  -2.294  4.404  0.275    1.000   6.265   1.3980  0.0000   0.000E+00  4.671E-01  0.000E+00
 0.070     7.290     2940.  -2.298  4.408  0.274    1.000   6.267   1.4048  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.302     2940.  -2.308  4.417  0.271    1.000   6.271   1.4184  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.314     2939.  -2.317  4.426  0.268    1.000   6.274   1.4320  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.320     2939.  -2.322  4.431  0.267    1.000   6.276   1.4388  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.332     2938.  -2.331  4.440  0.264    1.000   6.280   1.4524  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.344     2938.  -2.341  4.449  0.261    1.000   6.284   1.4660  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.351     2938.  -2.345  4.454  0.260    1.000   6.286   1.4728  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.363     2937.  -2.355  4.463  0.257    1.000   6.289   1.4863  0.0000   0.000E+00  4.672E-01  0.000E+00
 0.070     7.375     2936.  -2.364  4.472  0.254    1.000   6.293   1.4999  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.381     2936.  -2.369  4.476  0.253    1.000   6.295   1.5067  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.394     2935.  -2.378  4.485  0.250    1.000   6.298   1.5202  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.400     2935.  -2.383  4.490  0.249    1.000   6.300   1.5270  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.412     2934.  -2.392  4.499  0.247    1.000   6.304   1.5405  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.425     2933.  -2.402  4.508  0.244    1.000   6.308   1.5540  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.431     2932.  -2.408  4.513  0.243    1.000   6.309   1.5608  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.443     2930.  -2.418  4.522  0.240    1.000   6.313   1.5742  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.450     2929.  -2.423  4.526  0.239    1.000   6.315   1.5810  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.462     2928.  -2.433  4.535  0.236    1.000   6.318   1.5944  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.475     2926.  -2.443  4.544  0.234    1.000   6.322   1.6079  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.481     2925.  -2.448  4.549  0.233    1.000   6.323   1.6146  0.0000   0.000E+00  4.673E-01  0.000E+00
 0.070     7.494     2923.  -2.458  4.558  0.230    1.000   6.327   1.6281  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.500     2922.  -2.463  4.562  0.229    1.000   6.329   1.6348  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.513     2920.  -2.474  4.571  0.227    1.000   6.332   1.6482  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.520     2919.  -2.479  4.576  0.226    1.000   6.334   1.6549  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.533     2917.  -2.489  4.585  0.223    1.000   6.337   1.6683  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.539     2916.  -2.494  4.589  0.222    1.000   6.339   1.6750  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.552     2913.  -2.504  4.598  0.220    0.999   6.342   1.6883  0.0000   0.000E+00  4.674E-01  0.000E+00
 0.070     7.565     2911.  -2.515  4.607  0.218    0.999   6.345   1.7016  0.0000   0.000E+00  4.675E-01  0.000E+00
 0.070     7.572     2910.  -2.520  4.612  0.216    0.999   6.347   1.7082  0.0000   0.000E+00  4.675E-01  0.000E+00
 0.070     7.585     2908.  -2.530  4.621  0.214    0.999   6.350   1.7215  0.0000   0.000E+00  4.675E-01  0.000E+00
 0.070     7.591     2906.  -2.535  4.625  0.213    0.999   6.352   1.7282  0.0000   0.000E+00  4.675E-01  0.000E+00
 0.070     7.604     2904.  -2.546  4.634  0.211    0.999   6.355   1.7414  0.0000   0.000E+00  4.675E-01  0.000E+00
 0.070     7.611     2903.  -2.551  4.639  0.210    0.998   6.357   1.7481  0.0000   0.000E+00  4.675E-01  0.000E+00
 0.070     7.624     2900.  -2.562  4.648  0.208    0.998   6.360   1.7613  0.0000   0.000E+00  4.676E-01  0.000E+00
 0.070     7.631     2899.  -2.567  4.652  0.207    0.998   6.361   1.7680  0.0000   0.000E+00  4.676E-01  0.000E+00
 0.070     7.644     2896.  -2.578  4.661  0.205    0.997   6.364   1.7812  0.0000   0.000E+00  4.676E-01  0.000E+00
 0.070     7.651     2894.  -2.583  4.666  0.203    0.997   6.366   1.7878  0.0000   0.000E+00  4.676E-01  0.000E+00
 0.070     7.664     2892.  -2.594  4.674  0.201    0.996   6.369   1.8011  0.0000   0.000E+00  4.676E-01  0.000E+00
 0.070     7.671     2890.  -2.599  4.679  0.200    0.995   6.371   1.8077  0.0000   0.000E+00  4.677E-01  0.000E+00
 0.070     7.685     2887.  -2.610  4.688  0.198    0.994   6.374   1.8209  0.0000   0.000E+00  4.677E-01  0.000E+00
 0.070     7.691     2886.  -2.615  4.692  0.197    0.994   6.375   1.8275  0.0000   0.000E+00  4.677E-01  0.000E+00
 0.070     7.705     2882.  -2.626  4.701  0.195    0.992   6.378   1.8407  0.0000   0.000E+00  4.677E-01  0.000E+00
 0.070     7.712     2881.  -2.631  4.706  0.194    0.991   6.380   1.8474  0.0000   0.000E+00  4.677E-01  0.000E+00
